food_item,serving_size,calories (kcal),protein (g),protein (g),protein (g),protein (g),carbohydrate (g),sugar (g)
족발,250,582.68,65.09,34.78,65.09,34.78,2.32,0.0
코다리찜,200,188.69,28.97,2.69,28.97,2.69,12.15,5.0
풋고추찜,100,51.22,2.31,0.99,2.31,0.99,8.27,1.44
해물콩나물찜,200,111.2,13.33,2.02,13.33,2.02,9.93,0.0
간장양념닭다리튀김,200,646.67,37.71,39.2,37.71,39.2,35.75,7.41
간장양념치킨,200,543.73,20.46,32.44,20.46,32.44,42.48,10.54
감자튀김,150,467.75,6.82,25.51,6.82,25.51,52.72,0.55
고등어튀김,150,513.77,29.46,39.26,29.46,39.26,10.65,0.0
김말이튀김,150,384.91,2.97,23.78,2.97,23.78,39.75,1.22
김튀김,50,260.77,5.5,14.45,5.5,14.45,27.18,0.07
깐풍기,150,344.54,18.89,17.7,18.89,17.7,27.42,4.6
다시마튀각,50,230.86,4.22,13.26,4.22,13.26,23.66,8.62
닭강정,200,450.09,23.68,19.47,23.68,19.47,45.04,7.95
닭날개튀김,200,514.08,34.34,32.54,34.34,32.54,20.97,0.0
등심돈까스,200,463.93,33.75,26.52,33.75,26.52,22.57,8.98
떡강정,200,498.31,7.58,9.43,7.58,9.43,95.78,10.67
미역튀각,50,221.3,6.62,16.95,6.62,16.95,10.57,5.68
새우탕수육,200,232.79,13.29,8.39,13.29,8.39,26.03,12.87
새우튀김,150,430.34,25.52,23.84,25.52,23.84,28.44,0.13
소시지튀김,200,707.98,28.13,62.6,28.13,62.6,8.01,1.54
오징어튀김,150,505.71,18.56,32.99,18.56,32.99,33.65,0.5
채소튀김,100,404.63,3.25,27.14,3.25,27.14,36.83,6.37
치킨너겟,150,468.4,22.47,35.42,22.47,35.42,14.93,4.94
탕수육,200,358.97,27.21,16.75,27.21,16.75,24.84,19.08
후라이드치킨,200,530.04,35.47,33.67,35.47,33.67,21.29,0.0
